,GEOID
0,36005000100
1,36005000200
2,36005000400
3,36005001600
4,36005001900
5,36005002000
6,36005002300
7,36005002400
8,36005002500
9,36005002701
10,36005002702
11,36005002800
12,36005003100
13,36005003300
14,36005003500
15,36005003700
16,36005003800
17,36005003900
18,36005004001
19,36005004100
20,36005004200
21,36005004300
22,36005004400
23,36005004600
24,36005004800
25,36005005001
26,36005005002
27,36005005100
28,36005005200
29,36005005300
30,36005005400
31,36005005600
32,36005005902
33,36005006000
34,36005006100
35,36005006200
36,36005006300
37,36005006400
38,36005006500
39,36005006700
40,36005006800
41,36005006900
42,36005007000
43,36005007100
44,36005007200
45,36005007300
46,36005007400
47,36005007500
48,36005007600
49,36005007700
50,36005007800
51,36005007900
52,36005008300
53,36005008400
54,36005008500
55,36005008600
56,36005008700
57,36005008900
58,36005009000
59,36005009200
60,36005009300
61,36005009600
62,36005009800
63,36005011000
64,36005011502
65,36005011700
66,36005011800
67,36005011900
68,36005012101
69,36005012102
70,36005012300
71,36005012500
72,36005012701
73,36005012901
74,36005013000
75,36005013100
76,36005013200
77,36005013300
78,36005013500
79,36005013800
80,36005014100
81,36005014300
82,36005014400
83,36005014500
84,36005014701
85,36005014702
86,36005014900
87,36005015100
88,36005015200
89,36005015300
90,36005015500
91,36005015700
92,36005015800
93,36005015900
94,36005016000
95,36005016100
96,36005016200
97,36005016300
98,36005016400
99,36005016500
100,36005016600
101,36005016700
102,36005016900
103,36005017100
104,36005017300
105,36005017500
106,36005017701
107,36005017702
108,36005017901
109,36005017902
110,36005018101
111,36005018102
112,36005018301
113,36005018302
114,36005018400
115,36005018500
116,36005018900
117,36005019300
118,36005019400
119,36005019500
120,36005019700
121,36005019900
122,36005020000
123,36005020100
124,36005020200
125,36005020400
126,36005020501
127,36005020502
128,36005020601
129,36005020900
130,36005021001
131,36005021002
132,36005021100
133,36005021200
134,36005021301
135,36005021302
136,36005021501
137,36005021502
138,36005021601
139,36005021602
140,36005021700
141,36005021800
142,36005021900
143,36005022000
144,36005022101
145,36005022102
146,36005022200
147,36005022300
148,36005022401
149,36005022403
150,36005022404
151,36005022500
152,36005022701
153,36005022702
154,36005022703
155,36005022800
156,36005022901
157,36005022902
158,36005023000
159,36005023100
160,36005023200
161,36005023301
162,36005023302
163,36005023501
164,36005023502
165,36005023600
